采集时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数
2018-03-20 00:00:00,14.874625003465924,8.113023783758326,7.296139980353949,199.2844328211974,3.479572366100563,2.143261232451369
2018-03-20 20:00:00,15.003192076805727,8.107805431746536,7.304732174517557,200.82142954418265,3.478917359568883,2.247810560863631
2018-03-21 00:00:00,15.126030714698688,8.101454477197587,7.344963012298902,203.1174992780452,3.4375962551576094,2.3574598565155154
2018-03-21 04:00:00,15.250715139805942,8.092988841938933,7.327205110459825,204.8279138769742,3.4176741212628583,2.4724578982967604
2018-03-22 20:00:00,15.387237829552573,8.086110248862784,7.335410237799328,206.61098284658271,3.4100972491293393,2.5930656006527
2018-03-23 00:00:00,15.52081040660392,8.077383919539017,7.323527810374905,208.48786005861112,3.4341507734771124,2.580532215318686
2018-03-24 20:00:00,15.649679206926061,8.068768500979944,7.311016971856607,210.43848737854339,3.4183044697442884,2.6083630550903294
2018-03-25 00:00:00,15.78385868043465,8.060025501027747,7.291408043654491,212.4937794457894,3.407490053634253,2.625844179728882
2018-03-25 04:00:00,15.69038837216317,8.048075525468125,7.31669624090593,212.01054917485231,2.45039200747007,2.653934139715657
2018-03-28 12:00:00,15.843139024463811,8.038127990125107,7.302925325828171,214.1323320614305,2.3996794224686098,1.397589463604224
2018-03-29 12:00:00,15.995048245169365,8.02750008720438,7.286629000258814,216.34673850345152,2.362932077223176,1.2706426081702837
2018-03-30 00:00:00,16.15075791566543,8.014158628043619,7.268464561247049,218.67243306459548,2.3104409590389405,1.2584788329590781
2018-03-30 20:00:00,16.309429033502767,7.999190756240868,7.245950637405441,221.12260053116108,2.2597307619188887,1.214989995542448
2018-03-30 22:00:00,16.458913376600464,7.980126890691642,7.217216522156925,223.75565421560793,2.198937140549078,1.149867556300616
2018-03-31 00:00:00,16.570811590093168,7.963401373164404,7.182105132993848,229.4942227139303,1.8397145620392765,1.05522694929089
2018-03-31 02:00:00,16.75753410668308,7.944542903562668,7.143427334603304,229.73077016339028,1.8200421016509483,1.0520672882806894
2018-03-31 04:00:00,16.951950404570063,7.925544996419382,7.106228667998587,229.99397846404347,1.8027270822192873,1.0682656925870646
2018-03-31 06:00:00,17.155801643817384,7.905913045025206,7.070191042047298,230.2661725354602,1.7867625496446182,1.070132311737653
2018-03-31 08:00:00,17.358962699613354,7.886103925270337,7.0321515806837525,230.54574192743388,1.7630924301150874,1.0711143757248556
2018-03-31 12:00:00,17.5679852703262,7.876157775283525,6.991329706570765,230.83909519218676,1.7393896218280185,1.0482419062480193
2018-03-31 14:00:00,17.80159430790309,7.8544581545656476,6.9729555459156805,231.04388032351298,1.7501403350879219,1.0271805358210933
2018-04-01 00:00:00,18.04562329853251,7.829456113324947,6.944075328643274,231.29060619295262,1.7599520587507473,1.0021649522026101
2018-04-01 04:00:00,18.274385410656052,7.802697874950555,6.9116887593088,231.67190405602346,1.7592180128361499,1.0510510474320058
2018-04-01 08:00:00,18.52650177215147,7.776780698118874,6.885136991470206,232.07775303436605,1.758789623218401,1.1023218302335671
2018-05-22 00:00:00,18.792428687866177,7.7522334151002825,6.869729039834605,232.4631556214083,1.7395110682534454,1.1560936268303266
2018-08-13 20:00:00,18.83001057507916,7.727122849983224,6.795910944216781,232.42969979806236,1.7212433154853208,1.1768786817976595
2018-08-14 00:00:00,18.769523286058632,7.737567867055576,6.8273212341785765,232.4156363735776,1.6640844528260679,1.1811166662755943
2018-08-14 04:00:00,18.705939056110275,7.748327275204629,6.8665076358458235,232.40932595277653,1.62199101150051,1.1850735768256233
2018-08-14 08:00:00,18.63857022957907,7.759513971556074,6.91262995954562,232.38865892608274,1.5614052071834617,1.2058088732561414
2018-08-14 12:00:00,18.5686468261439,7.767002457973444,6.9127582502551626,232.44147155662338,1.5130835099728988,1.2138971109759533
2018-08-19 04:00:00,18.49453203717531,7.772953797386782,6.92020987221883,232.36778724231232,1.4705997787520646,1.2267701407796585
2018-08-19 08:00:00,18.411289697525323,7.778561299698332,6.937293280619748,232.44606954681535,1.4633119630814335,1.2349052695981786
2018-08-19 12:00:00,18.328425780331436,7.777856972854347,6.873356367479249,232.70807293934294,1.4570344978658938,1.2458762583590652
2018-09-08 12:00:00,18.240495330591504,7.781508532505779,6.892056678087992,232.75080820467673,1.4236215465422788,1.2881141246204832
2018-09-08 16:00:00,18.140421932083772,7.776557729213377,6.836157003848382,232.97411592197807,1.432286012227268,1.2982660331385554
2018-09-08 20:00:00,18.036637636087857,7.7697556672237855,6.759920760133669,233.24558499134287,1.442495085994452,1.31281559573068
2018-09-09 00:00:00,17.934083374433605,7.76008521196641,6.679672992335311,233.49322328360353,1.4377387487258888,1.3256358686931522
2018-09-09 04:00:00,17.832965490259635,7.749747905233065,6.593071674888252,233.79352685841343,1.4190918584198347,1.3351790818001352
2018-09-09 12:00:00,17.730427221491812,7.741052681098092,6.541660537077923,233.9803330466287,1.4130475588305584,1.352017085790386
2018-09-09 16:00:00,17.625960256686533,7.742225982615072,6.553790319374406,233.88376392695204,1.4025132934076587,1.3711398704630877
2018-09-19 14:00:00,17.515958317988314,7.7436516403036135,6.5871947251975485,233.88721582582778,1.3804895516226665,1.3955857178027506
